review_id,full_review,zero_star,zero_star_ohe
R2UONJRFYKXF0L,I bought these pens for my current college quarter and have used the black ink pen the most. They write as described and I actually liked writing with them but the tip of my black pen has shortened to the point that I can no longer write with it. It actually only lasted exactly 17 pages of writing. (I wasn't expecting for the tip to shorten... I was actually thinking that It would either run out of ink or the ink might dry up after a while before anything else). Two stars for being nice pens and good for drawing and writing but ... they don't seem to last. I wish it had more black ink pens than just one.,0,0
R7GQO9U3P276N,"Never got it...it was sent to the wrong address and disappeared :( Charges were reversed and an email sent to me to appologize, that's why the 2 stars. I appreciate that Amazon did what they could:)",0,0
R2YBUN8AEZL6I2,read the review guys. the tip shakes like crazy. i bought a silver one too but the silver one shook much less but the tactility of the press was different. i geuss theres not much quality control for the price of these.,0,0
R1J6XSOSYTDUBR,This is how bad the template is off for these labels. Not bent but they clearly aren’t reading their reviews. I thought for they would have fixed the issue.,0,0
R27XP52CL9MNIP,"The idea is nice, but the execution is lacking. I lost the first one because I didn't seat the cap all the way, or so I thought. I bought a second and used the cap from the first one, the second pen came off some where. I can't rule out user error could have played a part in my pens going missing, hence two stars. If you are fastidious with this you will probably be fine, but I found a small pen with a good clip is much better. Like this one:https://smile.amazon.com/Zebra-SL-F1-Ballpoint-Silver-BA55-S/dp/B003G0YWJ6/ref=pd_cart_rp_1_2?_encoding=UTF8&pd_rd_i=B003G0YWJ6&pd_rd_r=YMTBGMA19X74KN0MZBG1&pd_rd_w=xqpxm&pd_rd_wg=krDyf&pf_rd_i=cart-page-widgets&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=3457867853211955575&pf_rd_r=YMTBGMA19X74KN0MZBG1&pf_rd_s=cart-page-widgets&pf_rd_t=40701&refRID=YMTBGMA19X74KN0MZBG1&th=1",0,0
R3N84C4QU2MKFQ,"I bought these pens after reading the positive reviews.  The ink in nearly HALF of my pens does not flow.  The nubs of the defective pens scratch the writing surface due to their extra fine points.  Even the pens that write reasonably well will not write at high speed because the ink skips unevenly.  I would urge anyone purchasing these pens to test each pen during the 30 day period so you won't forego the right to return them, or consider buying a regular nub vs. extra fine.  I need the extra fine point for detail work but it doesn't work for speed writers like me.",0,0
R10U181JPQ34AL,"The coin is okay but not as pictured. VERY DISAPPOINTED! I thought this coin was going to come with a nice card as per reading other reviews and noticing it in the photo. I don't always base my idea of what is coming by only the photo but TWO reviews specifically stated the coin came with the card. Now, I need to have someone purchase a card to present this to my hubby for our anniversary. I am recovering at home from surgery and no way to travel. Thought this would be the solution to both a card and sweet gift. The coin came loose in a huge box buried under another item. It was in a little plastic bag. No care involved with the idea pictured or the packing. Good thing I noticed it! I would have bought more for other relatives, but after the condition it which it arrived... sorry no more purchases.",0,0
R1YB2S9M5GJ2DW,"We needed to replace an X-Acto model which died after five years of service.  Decided to try AFMAT brand and now sorry that I did.  Although design is attractive, out-of-the-box our motor stopped running before the pencil was sharp so not an overheating issue.  Suspect a defective sensor, switch, and/or motor.  The variable sharpening feature with three settings is innovative, but the top mounted switch is flimsy and can easily change from one setting to another if you brush your hand anywhere close to it.  More positive ""click stops"" for each setting would have been better.  Returned this one and will most likely go back to using an X-Acto brand.I'm upgrading my review because the seller made a prompt and sincere effort to replace the product under warranty.  As a result, I would not hesitate to use this seller again.  In the end; however,  this product failed to meet my expectations for functionality and quality control.",0,0
R1197K0UA8BB1U,"The pen kept popping out of the cap that holds it to the keychain - I lost it in under a month. I would give it 1 star but it worked well as a pen, just not as a keychain.",0,0
R33EN8NIM08TU6,"I am disappointed in this product. While the reviews on here seem great, the folders I ordered were not what I was expecting. The print is blurry and smudged. I can't tell if these are knock-offs or not but my set was just not worth the money.Giving it 2 stars because I am still using them ( I didn't want to be wasteful) and I do like that they provide a lot of space... I just wish that the print was more clear and precise.",0,0
R314KQLDV1Q14I,I really should have read the reviews.  It's junk and I can't believe I paid $20 for this piece of cr*p. It won't even hold the push pins because it's so thinly made.  There's a paper thin piece of cork board with a piece of cardboard in back. Worse thing I've ever bought.,0,0
R73R0IV1OGGKN,"holy moly... do not buy!!! not worth it. bought it reading at the reviews.. most of these reviews are lies... there should be no reason for this pen to cost this much and have this high of a rating,... the only thing about this pen is the durability... the ink keeps blending out... the end where you write from, the place where the ink comes out, has an opening so big that every time i lift my pen off the paper and put it down again for another letter, i get clicking sounds every 1 second.",0,0
R3PZZP9TF01K2O,"Every single cartridge, upon opening the orange tab, leaked ink everywhere. Now it's on my hands, my clothes, my desk, and my carpet. I'll be going with OEM in the future. Gave 2 stars because, after cleanup, they actually worked in my printer.",0,0
R52IKQ1J8F51U,"I was looking for a clear standard size clipboard, when I happened across this one.  I wasn't sure about the ""flat clip"" design, but I decided to give it a try.The pros:+ Low cost, $3.99 with free shipping, when I bought mine.+ Good product reviews.+ Clear, modern looking acrylic board.+ Imprinted ruler.  Inches on the right side & centimeters on the left side.The cons:- The plastic wrapper is difficult to remove, especially around & under the clip.- No place to clip a pen or pencil, like on a traditional clipboards.- The paper isn't clipped flat to the board, but is raised about an 1/8th of an inch at the flat clip.  This is due to the design of the ""flat clip""- The hanging tab hole is too small & the tab rattles when using the clipboard... very annoying!  I decided to cut it off! :(Closing thoughts:I thought this updated design would be an improvement, but I was wrong.  I've since ordered this clipboard:  Sparco Transparent Plastic Clipboard, 9 x 12-1/2 Inches, Clear (SPR01860)  It costs a bit more, but it has the traditional clip with a larger hanging hole. :)",0,0
RC0IBPXUSS49Z,Amazon needs to add a ZERO star rating.  The wifi/ethernet connection started to be intermittent after a year (from several different computers and operating systems).  It no longer prints reliably.  If I could return it I would as well as trying to get my money back for the number of expensive ink cartridges trying to get this piece of garbage to work.,1,1
R8EHU8H7AHGB3,Doesn’t work - not sure why there are so many positive reviews.  Total scam.,0,0
RQCY7OHYGKAV1,"Misleading photo. Thought I was getting three. The more reviews like this, the more likely the seller is going to keep the 3 notebook photos in his sales gimmick as it generates sales.",0,0
R29ETQV5GBQ9UV,"I really want to love these pens. I bought a bunch of them in various colors and used them for all of my writing at school and at work. I like the line they put down and that the ink doesn't smear when my hand moves across the page (I'm left-handed).There are two issues I have with the Sharpie Pens, though. The first one is the flaking of the barrel. The silver finish on the barrel flakes off and goes everywhere. It is all over the inside of the pen pocket in my backpack, it gets on my hands and face, and it gets on my paper. This is annoying, but I am willing to live with it because the pens write nicely.The second problem is the leaking. This is the problem that takes these pens to a 1-star rating for me. I didn't have any problems in the winter, but the weather here just warmed up and all of my Sharpie Pens began to leak on the same day. The ink leaks all over my hands and my desk. I had to throw the whole lot of them away. These were my favorite pens, but I can't have pens that only work during cold months. I will be looking elsewhere for my new go-to pen.",0,0
R2YMMWLVLMBFG,"I should have read the other reviews more closely... Love the fine tip, but no ink comes out! They worked great the first time, and now it seems they are dried out or do not work when writing horizontally on a wall. I only used the pink one a couple times and now it doesn't write at all. These were a waste of money and I will never buy again. So disappointed.",0,0
R3LDU5TG4S5N3Y,"Update: B504 errorI bought these because, well, Canon ink is too expensive. I read the reviews, and I also believed, naively, the advertising that said the product had colors that would look just like the original ink. The black is reasonably dark, but the colors are washed out compared to the original cartridges. The Canon ink has a rich, organic look. The ink does not dry as fast as the original, either. Having said that, there's not a lot of chemical smell from the Kingway ink, and the colors are not as bad as some replacement cartidges I have used. So, perfectly fine, but don't expect great color.",0,0
R17324341M1GOP,"I had previously given a similar review and the company in there attempt to console me sent me 2 more small plastic baggies with not ""4-Strips"" as it says but 3 and these are 1 - 3/8"" long. They are the heavy duty 3M type of Velcro strip but again, who would knowingly buy 3 small strips??? Not me. And to send me 2 tiny bags of 3 and not 4 as the ad says........By the way, thank you for the additional strips and the feeble attempt change my review, I am simply being honest. Nothing wrong with selling 3 little strips but make that really clear in your advertisement and don't say ""4-Strips"" and then send only 3. Not ok.",0,0
R2I0HM6JMA5XB4,"I've been experiencing the dreaded symptoms of carpal tunnel & decided I needed to quickly remedy the situation.  I've just been using a regular, cheap, mouse pad without any padding.  I like to simplify, so after carefully reading over the reviews, chose this product.  It arrived today, & I'm telling you the truth, my wrist was on it for mere minutes when it began aching & burning.  The padding is just too hard, not at all soft like the advertisement said--the rolled sock I'd been using felt better.  And I was disappointed that the platform was some sort of hardwood that prevented the mouse from rolling smoothly. I'm sending it back for a refund.",0,0
RXM1SU39D95WC,"These markers have bold colors and write very well, but they are not washable and have limited color palette.  I guess since they are crayola I thought they were geared towards children and therefore would be washable...but I was wrong. It will not come off of clothing, a stuffed animal, or upholstery.  Sad, because no other markers have such strong colors with low odor, but until these issues change, 2 stars.",0,0
R3UO1Z4C6FNVSM,I use the scales to weigh pen pal letters. I originally gave these scales a good review.  It has now turned totally bad.  I have not been able to use the scales after the first use.  The digital display has went crazy.  It will not zero out.,0,0
R10THJHAQNZHKW,"Basically painful to sit in for more than an hour after the first 10 hours of use. Backing mesh stretched and lumbar support is not padded. After one day of use, you will need to tuck a pad or foam into the seat, like other reviewers have noted, or you will have a hard plastic “lumbar” support that is sharp in your back.Within a six months all of the foam was flattened in the arm rests and then the arms themselves will start to back out of the assembly and wobble around. After six months of wobbling they break off.This is not a good product and I would not recommend it to anyone.",0,0
R23Q6UFG471L78,"I very seldom write a review but I must admit I do read them on products. These print cartridges are a 50/50 crap shoot, the first ones I got worked fine the next order they would only print a very faint image of the picture and black print and before you ask no these were not used and re-boxed. I emailed GPC and got a reply telling me to clean the contacts with a eraser and send them the Amazon order #, I had already cleaned the Ink ports with their included alcohol cleaning pad.  I did all that GPC asked and still the same faint picture and letters I emailed them back and said that it was still the same, I waited for a reply for almost a week and GPC never replied again. To add salt to the wound of this order I bought them for $24.95 and Amazon only credited me $19.99. So think about the time to mess around defective ink cartridges, the GPC email failure, taking them back to UPS and loosing $5.00, do yourself a favor and by another brand.",0,0
REDFWUT5TLJAT,"I bought this item because it received a lot of good reviews. It is comfortable and does not generate much heat, but perhaps this item is just not for me. The way it is designed, my wrist sits higher than I'd like to. It's difficult to maneuver my mouse when my wrist sits so high. It would be nice if I could have a way to take out some of the filling to adjust the height without tearing or cutting into the fabric.",0,0
R20XSL7AQZI5O8,"Product: The wheels are plastic, and overall it is flimsy. I didn't give it a one star because the cart DOES work as a cart.Seller: The shipping was very fast. And the seller packaged the product very well. I would buy from this seller again.",0,0
R1WMA3U2RG83Y9,"Made in China/Japan and the quality shows this time around. As an avid ""pen person"" I have to admit that this pen us very cheaply made, its cartridges difficult to load and when depressed to write, most of the colors don't stay down low ng enough to write and pop back up.Unfortunately I relyed on the previous rave reviews I read but I will not purchase these ever again!  (Especially since they have a ""no returns"" policy and don't even offer a replacement). Garbage product.",0,0
RJL3YRKA99KM5,"One arrived with glue between two of the felt lengths on the eraser side. It still erases but I wonder if, in time, it will end up scratching our white/chalk boards? There's no way to remove the glue, it's solid. It's a shame. They're the perfect length and erase well. However, it's pretty expensive when you end up with only one good one. As for recommending? I'd say, it's a coin toss. Maybe you'll get two good ones, or maybe you'll pay this price and only get one that's useful. Unless they're deliberately trying to get rid of a stock of errors in manufacturing, surely every order wouldn't contain one flawed & one usable eraser? I'd give it 2 1/2 stars if I could, since I got half of 2.",0,0
R2H4JTXU4NG0KI,"I should have listened to some of the other reviews. This was not worth the trouble. It did slice open envelopes well, but even with trying to shake the letter contents to the bottom of the envelope, the opener still would slice through several letters out of each morning’s mail. I spent more time taping letters back together that this was a big pain and no time saver at all. Unfortunately, I waited too late to try to return it, so it was a total waste of money!",0,0
R2Z72B9HL1IZCZ,"First time buyer of Noodler's.  I have used fountain pens for 50+ years.  Not the best ink for me. Going back to my old brands.  I do want to note that customer service is excellent though.Edit: 5 months later.  I dropped the rating.  I can't live with the nib creep in my Lamys, Parker or Waterman.",0,0
R9SN0G6RWURVU,"I'm extremely disappointed.  I ignored the bad reviews and took a chance.  I ordered these at the end of July, 2019 and installed them approximately the first week of August.  I am NOT a heavy printer user, and have printed MAYBE 50 sheets total of mostly black ink.  Today, 10/25/19, not even 3 months later, and now the ink will NOT work.  Now the printer gave an error that said the ink cartridge has failed.  WASTE OF MY MONEY.  Never again.",0,0
R1PTR4DZEVALEP,When i received this bell product the size of it made me feel terrible. This bell is great for a child's tricycle or even a baby carriage! When i installed it on a metal main door it barely rang. The dog sleeping nearby never woke up! When i showed it to everyone all they did was start laughing!. The joke is on me. I should have listened to all the other 1 star reviews!,0,0
R1QBXKSW5WTJQQ,Very bad printer.  It was new just out of the box...I just inserted ink cartridges..it displayed the 2 error codes mentioned in other reviews. If you dont believe me google it.... you will realize this printer does not worth your attention.,0,0
R3RHZ6PSPJTKZT,"I purchased this unit in June 2015 for light home use. Now 17 months later (out of warranty), the dreaded ""0x97"" printer code has started appearing on every print attempt. This printer has printed less than 1,400 sheets. Very disappointing. I've tried the various ""fixes"" suggested on user forums, but to no avail. The ""scan-to-memory-device"" function continues to work well.Prior to the ""0x97"" problem, I probably would have given it three stars, mostly because it never did print color very evenly and the replacement cartridges are pretty pricey.Bottom line:  This was my first and last Epson printer purchase.",0,0
R2WQJICLZ5FOMV,Love the black ones. You can write on thin paper such as the one they use to make Bibles and it won’t bleed through. I didn’t get the green sharpie tho so 1 Star for you losers,0,0
R3T6AVWQ6NCFQV,I should have trusted the reviews.  Don't buy it.,0,0
RBSMSIIZEKKMQ,"I bought this based on a suggestion from a friend that swears by his. Setup was easy but, it works only part of the time. I insert a document and then most of the time I have to reinsert the document because I am getting the no paper detected alert. Even though that is a pain, the software is easy to use and I can work with it. The software wants you to purchase a cloud plan to backup and enable features on the iphone app. I don't care about cloud backup or iphone features, because I use the scanner to report incoming checks and record expenses at my desk in my office and backup to an external hard drive. I did not extend the paid plan support after the trial has ended. I even have to opt out of the many reminder emails from Neat which is quite annoying. Now here comes the part that makes me angry: My older macbook pro dies. I have a backup of my neat software from my external hard drive and I think I'm in the clear. I buy a new macbook and install the neat software but when I log into the new software and enter my old login info, It says my Neat plan has expired. It seems my only choice... is to purchase a cloud plan from Neat and I am unable to open the program and can't get past the log in / purchase a plan screen. I take a few breaths, let's work the problem. I go to the Neat website and guess what?!!! I can not call for support, because you have to pay for extended service nor can I live chat with someone because (you guessed it) you have to pay for extended service. I will email the support link, it is free surprisingly.I would not recommend this unless you are willing to buy an expensive scanner then continue to pay for the honor of using the Neat software and pay additionally for customer support other than by email.I am giving this 2 stars because it will work and the software is easy to use, but I am not recommending this because of the lack of unpaid customer support and seeming greediness of the Neat company. NeatDesk Desktop Scanner and Digital Filing System- Macintosh- (Certified Refurbished)",0,0
RNYE41MVP6LXT,"I dislike giving negative reviews, but one of the main criteria I use when deciding on a purchase are the ratings provided by other customers. So, I think it's only fair to express an honest opinion regarding the items I buy, in the event it helps someone else. The greeting cards I received after placing this order are disappointing. In the photos provided, the reindeer appears to be red. On the actual card, the color is a dull burgundy (and I realize computer monitors can affect this aspect). I missed the fact that the texture is glossy, as it looks more parchment-like in the image and this was entirely my oversight. The description indicates the cards are printed on heavy stock. At best, this is medium-grade. Overall, the impression these cards give is similar to that of some I saw recently at the local Dollar Store. And, those were priced significantly less. Just not good quality merchandise.",0,0
RBBFCFZ25MVPF,"I was so excited about this. I ordered two, one for me and one for my husband for our home offices.  The fact that it holds so few staples wouldn't have lost any stars but the mechanism inside bent the first time I closed it. It won't staple at all. My husband tested his out immediately after, putting even less staples in and it won't even close let alone staple. These are super cute. But what we got was two non-functional dragon paper weights.  Wholely disappointed. Wasted money.",0,0
R8Z5UMXID2C6T,"DON'T BUY THIS PRINTER!!!!  If you want to print on anything but plain paper this printer is not for you.  You *might* get it to print on other than plain paper if you get the correct paper settings.  Otherwise the printer will refuse to pickup the paper, meaning it won't load it from the tray.  Really???  It should pick up any paper from the tray regardless of settings.  Want to print photos, forget it.  I've tried every setting and it will not pick up photo paper (Kodak Ultra Premium Photo paper).  For the money this printer is garbage.  I should have tried to print all media while still within the return period.  Now I'm stuck with this piece of junk.  The would be 9 stars if I had the option.",0,0
R1XPTBCNKHU1ZE,I wish I could leave 0 stars.  When I got the pen I went to write with it and the ink cartridge pushed back into the pen so I can't write with it.  I tried to return it and it's not even returnable.  What a tip off don't get it!!,1,1
RS03JVGEM9KFP,I bought these after reading a raving review online about how smoothly they write.  They do write smoothly...when they write.  The ones I purchased would just stop writing for unknown reasons.  I've gone back to using the Pilot Acroball pen for my handwriting needs.,0,0
R39KH5H6NH7FDO,"I hate leaving negative reviews but this was completely unable to support my filing cabinet. It crumbled under the weight and this was an empty cabinet, fresh out of the box.Maybe I didn't mount the cabinet right (I had help), maybe there was a particular way to do it. If there was, it didn't come in the box with the dolly.I didn't return it because I had already gotten rid of the box and it wasn't worth the effort at that time. Still, I'm out $30 and I had to place my filing cabinet without the ability to move it easily.",0,0
RG94J3F3ZCOCB,Disgusting the way those rubber bands broke when used on my head. They must have been dry rated. I had to throw them out.,0,0
R3E06BFD5WQPQQ,"I am very disappointed with this purchase of this chair. The chair does not have a lot of cushion at al for the price I paid. I really feel ripped off! The assembly was a tad bit difficult due to the screws not lining up and also there’s a lot of imperfections as seen in my photos. The chair is beautiful by sight  but that’s all. The chair is not comfortable. Shame, shame shame I had high hopes even after the other bad reviews. I do not recommend any one to purchase if you don’t want to be upset and waste money.",0,0
R3R678DQOWYDEM,I should have read the reviews...It is not a business card holder. It probably a soap dish or something... look elsewhere,0,0
R2V90D2X7W68MM,"If I could give this mounting tape zero stars I would.  First trying to get the red ""label"" of the tape is very difficult. Second it won't  even hold a very light weight light to the underside of a cabinet. I have used almost the whole roll trying to get it to stick but it keeps falling down.  Good thing I haven't put anything breakable on the top shelf my cabinet it would have been broken by now with how many times the lights have fallen off.",1,1
R142TA1U9YN8MS,"Every single pen dried up after just sitting at my desk for 4 weeks. (AC runs daily) I used them once to test the colors and they were great. The colors were very bright just like the reviews. I put them aside to save them for fall semester. I decided to take them out and use them last night (almost 5 weeks later) and every single one is completely dry. I cannot use them at all. I tried to scratch at paper with them for a while and a little color would come out of a couple of them, but then turn dry again. The opportunity to return them has passed. It's too bad because I really like this product.  I will have to shop for them somewhere else now. $12 for pens that you can only use one time is not worth it!",0,0
R37SYPHF0IFZOI,"I am a huge fan of this product, but ever since I switched to the 2"" rings, I have had nothing but trouble. Pages get ripped out trying to open and close the binder. It is not well constructed and a bit flimsy. I wanted to wait before writing a full product review, and unfortunately, these are not great. I would recommend buying the binder set, hole puncher, and all that, but definitely not these rings.",0,0
RXKKJQEA8WIXL,"This is the only bad review I've ever had to write. The company I work for bought this printer for me. If I would have looked into it myself, I would have seen the bad reviews for this model and selected something different. Setup was easy. Printer worked for a couple months then black clogged. Cleaning solved the issue for a couple weeks, then it occurred again. I went through several cartridges while repeating cleaning cycles (which consumes a lot of ink) and it never got much better. And, ink can only be ordered online - not available at Best Buy, Office Depot, or anywhere I looked. I was then shipped a replacement machine, but continued to have the same problems. Ink constantly leaking and creating a mess. I'm now convinced I just have to throw away my hundreds of dollars of ink ($140 just for of each cartridge!) and get a different model printer, probably going to get a different brand also... Anyway, if you buy this machine, I hope you have better luck than I did.",0,0
R2UZ9G2YNZGZOY,Junk!!!  I only gave one star because I can’t give zero. They are so small. I didn’t know there would be emoji stickers stuck to the top of white push pins. All of the stickers are falling off!! So cheap Thank god I can  send them back for free. Unreal!  Not worth $9.99 at all!!!!!,1,1
R3D4EEIXCHNXAO,"Yes it is FAST.  Copy color is accurate but ink cartridges are TINY and will run out faster.  Copy quality is good but I was expecting a little more from other reviews.  Noisy as heck.  Asks too many questions  Layout?  document size?  Preview?  Has great difficulty in recognizing it's own ink cartridges, tells me to re- install.  Also tells you  'paper does not match'  meaning you have to select not only paper type on your computer but the printer as well.  I found if I use another photo printer program, I don't get that message at all.  Also get operation is invalid.  Why can't this just be easy,  make a printer with fat ink cartridges and either it's a photo or document.  I wanted fast copies,  I got it.",0,0
R24BFMHNSBHRHQ,"BEWARE. Do not buy this cart. We are returning it. Reviews are right - impossible to assemble, wrong parts likely sent. Don't waste your money and time on this total crap.",0,0
R2G3SMBS8ME842,"These replacement cartridges were actually very easy to install.  The printer recognizes they are not certified HP ink cartridges but with the right settings will allow you to print.  I managed to print for about 2 weeks (only a couple dozen pages) until the Magenta blocked up my printer head.  I bought a certified HP replacement cartridge to try to fix the issue, but the printer head magenta was completely blocked up.  I bought a printer head cleaning kit to fix it - managed to unblock the magenta - but the printer head isn't printing correctly.  Finally managed to get everything straightened to test again, and now the cartridges are depleted.  After only printing about a dozen pages.  Regret buying these so much...  You can save 70 dollars off a full set of certified HP ink, but then you'll have to spend 200 on a new printer head for a printer that doesn't cost much more than that to begin with.Incredibly disappointing, huge waste of money, I saw some bad reviews and took a chance anyway.  For the love of money, and your printer please heed my warning - avoid this ink.",0,0
RCSD22HPE4ES7,"Do not buy this printer.  I've never taken the time to write a review before, but decided to do it in this case because of how shoddy this product is.  The print quality is very low and it has constant technical problems (e.g, I just spent the past hour on the phone with Epson because the machine would only print blank pages).  Even when the product is under warranty, Epson will not allow you to return the item for a refund, so if problems start happening after Amazon's 1-month return policy, you're out of luck.  I thought about donating it to a non-profit, but I don't want to pass along the trouble that this printer has been.  Instead I'm going to just run out the ink that's left (assuming it doesn't start spitting out blank pages again) and then toss it.  This printer is a real disappointment.",0,0
R3UVGH1X35SUCW,I love these pens. only giving one star because 3 of my pens from a dozen pack were missing.,0,0
R1TKQMGD8EKWGB,Bought three of these and only one will stay closed once zipped the other two are trash . What a waste of money I should have went by the other reviews that mentioned the same thing.,0,0
